step,t_sec,timestamp,frame_id_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,can_heartbeat_ok,warning_tag,control_action,risk_level
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F182A0,10,25,115,126,0,0,0,0,1,,FORWARD,normal
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F183A0,144,1,91,0,205,4,144,3,1,,FORWARD,normal
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F189A0,96,0,6,0,0,0,0,0,1,,FORWARD,normal
9,0.9,2026-04-22T02:43:05.881612+00:00,0x18F190A0,144,3,1,1,218,0,0,0,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F182A0,11,23,117,126,0,0,0,0,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F183A0,144,1,92,0,194,4,141,3,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F184A0,123,101,53,48,64,37,68,58,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F189A0,96,0,7,0,0,0,0,0,1,,FORWARD,normal
10,1.0,2026-04-22T02:43:05.881792+00:00,0x18F190A0,141,3,1,1,219,0,0,0,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F182A0,10,25,118,126,0,0,0,0,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F183A0,144,1,93,0,194,4,140,3,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F189A0,102,0,6,0,0,0,0,0,1,,FORWARD,normal
11,1.1,2026-04-22T02:43:05.899377+00:00,0x18F190A0,140,3,1,1,218,0,0,0,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F182A0,10,27,116,126,0,0,0,0,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F183A0,144,1,94,0,215,4,142,3,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F189A0,102,0,6,0,0,0,0,0,1,,FORWARD,normal
12,1.2,2026-04-22T02:43:05.899616+00:00,0x18F190A0,142,3,1,1,220,0,0,0,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F182A0,8,24,116,126,0,0,0,0,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F183A0,144,1,95,0,202,4,143,3,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F189A0,103,0,6,0,0,0,0,0,1,,FORWARD,normal
13,1.3,2026-04-22T02:43:05.899924+00:00,0x18F190A0,143,3,1,1,219,0,0,0,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F182A0,9,27,115,126,0,0,0,0,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F183A0,144,1,95,0,210,4,144,3,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F189A0,96,0,6,0,0,0,0,0,1,,FORWARD,normal
14,1.4,2026-04-22T02:43:05.900107+00:00,0x18F190A0,144,3,1,1,220,0,0,0,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F182A0,11,26,116,126,0,0,0,0,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F183A0,144,1,96,0,208,4,141,3,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F189A0,96,0,6,0,0,0,0,0,1,,FORWARD,normal
15,1.5,2026-04-22T02:43:05.900276+00:00,0x18F190A0,141,3,1,1,220,0,0,0,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F182A0,11,26,116,126,0,0,0,0,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F183A0,144,1,98,0,231,4,146,3,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F189A0,104,0,6,0,0,0,0,0,1,,FORWARD,normal
16,1.6,2026-04-22T02:43:05.900442+00:00,0x18F190A0,146,3,1,1,218,0,0,0,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F182A0,10,26,118,126,0,0,0,0,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F183A0,144,1,98,0,215,4,142,3,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F189A0,99,0,6,0,0,0,0,0,1,,FORWARD,normal
17,1.7,2026-04-22T02:43:05.900602+00:00,0x18F190A0,142,3,1,1,218,0,0,0,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F182A0,11,26,117,126,0,0,0,0,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F183A0,144,1,100,0,221,4,142,3,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F189A0,97,0,6,0,0,0,0,0,1,,FORWARD,normal
18,1.8,2026-04-22T02:43:05.900762+00:00,0x18F190A0,142,3,1,1,220,0,0,0,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F182A0,8,27,117,126,0,0,0,0,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F183A0,144,1,101,0,251,4,144,3,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F189A0,96,0,6,0,0,0,0,0,1,,FORWARD,normal
19,1.9,2026-04-22T02:43:05.900921+00:00,0x18F190A0,144,3,1,1,218,0,0,0,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F182A0,9,23,117,126,0,0,0,0,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F183A0,144,1,103,0,246,4,143,3,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F189A0,97,0,6,0,0,0,0,0,1,,FORWARD,normal
20,2.0,2026-04-22T02:43:05.901081+00:00,0x18F190A0,143,3,1,1,218,0,0,0,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F182A0,8,25,116,126,0,0,0,0,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F183A0,144,1,103,0,248,4,142,3,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F189A0,100,0,6,0,0,0,0,0,1,,FORWARD,normal
21,2.1,2026-04-22T02:43:05.915203+00:00,0x18F190A0,142,3,1,1,218,0,0,0,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F182A0,10,27,117,126,0,0,0,0,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F183A0,144,1,103,0,25,5,144,3,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F189A0,104,0,6,0,0,0,0,0,1,,FORWARD,normal
22,2.2,2026-04-22T02:43:05.915426+00:00,0x18F190A0,144,3,1,1,222,0,0,0,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F182A0,10,26,117,126,0,0,0,0,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F183A0,144,1,104,0,1,5,143,3,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F189A0,102,0,6,0,0,0,0,0,1,,FORWARD,normal
23,2.3,2026-04-22T02:43:05.915605+00:00,0x18F190A0,143,3,1,1,220,0,0,0,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F182A0,9,28,116,126,0,0,0,0,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F183A0,144,1,105,0,10,5,142,3,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F189A0,100,0,6,0,0,0,0,0,1,,FORWARD,normal
24,2.4,2026-04-22T02:43:05.915776+00:00,0x18F190A0,142,3,1,1,218,0,0,0,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F182A0,10,26,117,126,0,0,0,0,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F183A0,144,1,107,0,7,5,144,3,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F189A0,101,0,6,0,0,0,0,0,1,,FORWARD,normal
25,2.5,2026-04-22T02:43:05.915939+00:00,0x18F190A0,144,3,1,1,217,0,0,0,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F182A0,11,27,117,126,0,0,0,0,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F183A0,144,1,108,0,28,5,146,3,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F189A0,106,0,6,0,0,0,0,0,1,,FORWARD,normal
26,2.6,2026-04-22T02:43:05.916178+00:00,0x18F190A0,146,3,1,1,222,0,0,0,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F182A0,10,26,118,126,0,0,0,0,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F183A0,144,1,109,0,20,5,143,3,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F189A0,100,0,6,0,0,0,0,0,1,,FORWARD,normal
27,2.7,2026-04-22T02:43:05.916342+00:00,0x18F190A0,143,3,1,1,220,0,0,0,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F182A0,9,27,115,126,0,0,0,0,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F183A0,144,1,110,0,43,5,146,3,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F189A0,100,0,6,0,0,0,0,0,1,,FORWARD,normal
28,2.8,2026-04-22T02:43:05.916503+00:00,0x18F190A0,146,3,1,1,220,0,0,0,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F182A0,11,25,116,126,0,0,0,0,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F183A0,144,1,110,0,34,5,143,3,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F184A0,123,101,52,48,64,38,68,58,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F189A0,101,0,6,0,0,0,0,0,1,,FORWARD,normal
29,2.9,2026-04-22T02:43:05.916660+00:00,0x18F190A0,143,3,1,1,220,0,0,0,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F182A0,11,28,118,126,0,0,0,0,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F183A0,144,1,112,0,37,5,141,3,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F189A0,99,0,6,0,0,0,0,0,1,,FORWARD,normal
30,3.0,2026-04-22T02:43:05.916821+00:00,0x18F190A0,141,3,1,1,218,0,0,0,1,,FORWARD,normal
31,3.1,2026-04-22T02:43:05.930855+00:00,0x18F181A0,0,2,0,53,83,27,12,2,1,,FORWARD,normal
31,3.1,2026-04-22T02:43:05.930855+00:00,0x18F182A0,9,28,117,126,0,0,0,0,1,,FORWARD,normal
31,3.1,2026-04-22T02:43:05.930855+00:00,0x18F183A0,144,1,114,0,68,5,146,3,1,,FORWARD,normal
31,3.1,2026-04-22T02:43:05.930855+00:00,0x18F184A0,123,101,52,48,64,37,68,58,1,,FORWARD,normal
31,3.1,2026-04-22T02:43:05.930855+00:00,0x18F185A0,255,255,0,0,96,41,0,0,1,,FORWARD,normal
31,3.1,2026-04-22T02:43:05.930855+00:00,0x18F189A0,100,0,6,0,0,0,0,0,1,,FORWARD,normal
