时间标识,帧ID,数据
2026-05-05 12:33:04.441.390,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:04.441.959,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:04.442.527,18f183a0,48 0a 00 00 00 00 00 00
2026-05-05 12:33:04.443.104,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:04.443.665,18f185a0,52 0e 00 00 c9 6c 00 00
2026-05-05 12:33:04.444.221,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:04.941.379,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:04.941.948,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:04.942.516,18f183a0,48 0a 00 00 00 00 00 00
2026-05-05 12:33:04.943.093,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:04.943.653,18f185a0,52 0e 00 00 c9 6c 00 00
2026-05-05 12:33:04.944.210,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:05.441.372,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:05.441.941,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:05.442.510,18f183a0,4a 0a 00 00 00 00 00 00
2026-05-05 12:33:05.443.082,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:05.443.643,18f185a0,52 0e 00 00 ca 6c 00 00
2026-05-05 12:33:05.444.200,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:05.941.366,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:05.941.934,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:05.942.503,18f183a0,4a 0a 00 00 00 00 00 00
2026-05-05 12:33:05.943.076,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:05.943.640,18f185a0,52 0e 00 00 ca 6c 00 00
2026-05-05 12:33:05.944.197,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:06.441.358,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:06.441.927,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:06.442.495,18f183a0,4a 0a 00 00 00 00 00 00
2026-05-05 12:33:06.443.068,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:06.443.632,18f185a0,52 0e 00 00 cb 6c 00 00
2026-05-05 12:33:06.444.189,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:06.941.350,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:06.941.918,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:06.942.487,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:06.943.059,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:06.943.624,18f185a0,52 0e 00 00 cb 6c 00 00
2026-05-05 12:33:06.944.181,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:07.441.342,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:07.441.910,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:07.442.479,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:07.443.052,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:07.443.616,18f185a0,52 0e 00 00 cc 6c 00 00
2026-05-05 12:33:07.444.181,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:07.941.337,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:07.941.905,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:07.942.474,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:07.943.054,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:07.943.619,18f185a0,52 0e 00 00 cc 6c 00 00
2026-05-05 12:33:07.944.184,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:08.441.328,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:08.441.897,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:08.442.466,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:08.443.046,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:08.443.611,18f185a0,52 0e 00 00 cd 6c 00 00
2026-05-05 12:33:08.444.172,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:08.941.319,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:08.941.887,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:08.942.456,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:08.943.037,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:08.943.601,18f185a0,52 0e 00 00 cd 6c 00 00
2026-05-05 12:33:08.944.162,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:09.441.311,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:09.442.388,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:09.442.957,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:09.443.537,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:09.444.102,18f185a0,52 0e 00 00 ce 6c 00 00
2026-05-05 12:33:09.444.663,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:09.941.304,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:09.941.873,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:09.942.441,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:09.943.022,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:09.943.587,18f185a0,52 0e 00 00 ce 6c 00 00
2026-05-05 12:33:09.944.147,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:10.441.299,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:10.441.868,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:10.442.436,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:10.443.017,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:10.443.581,18f185a0,52 0e 00 00 cf 6c 00 00
2026-05-05 12:33:10.444.138,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:10.941.289,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:10.941.858,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:10.942.426,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:10.943.007,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:10.943.571,18f185a0,52 0e 00 00 cf 6c 00 00
2026-05-05 12:33:10.944.128,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:11.441.281,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:11.441.850,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:11.442.418,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:11.442.999,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:11.443.564,18f185a0,52 0e 00 00 d0 6c 00 00
2026-05-05 12:33:11.444.124,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:11.941.276,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:11.941.845,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:11.942.414,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:11.942.995,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:11.943.559,18f185a0,52 0e 00 00 d0 6c 00 00
2026-05-05 12:33:11.944.120,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:12.441.268,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:12.441.836,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:12.442.405,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:12.442.985,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:12.443.550,18f185a0,52 0e 00 00 d1 6c 00 00
2026-05-05 12:33:12.444.106,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:12.941.261,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:12.941.829,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:12.942.398,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:12.942.979,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:12.943.539,18f185a0,52 0e 00 00 d1 6c 00 00
2026-05-05 12:33:12.944.096,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:13.441.251,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:13.441.819,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:13.442.388,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:13.442.969,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:13.443.529,18f185a0,52 0e 00 00 d2 6c 00 00
2026-05-05 12:33:13.444.090,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:13.941.245,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:13.941.813,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:13.942.382,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:13.942.963,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:13.943.523,18f185a0,52 0e 00 00 d2 6c 00 00
2026-05-05 12:33:13.944.084,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:14.441.238,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:14.441.807,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:14.442.375,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:14.442.956,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:14.443.517,18f185a0,52 0e 00 00 d3 6c 00 00
2026-05-05 12:33:14.444.077,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:14.941.228,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:14.941.797,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:14.942.365,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:14.942.946,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:14.943.511,18f185a0,52 0e 00 00 d3 6c 00 00
2026-05-05 12:33:14.944.071,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:15.441.223,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:15.441.791,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:15.442.360,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:15.442.941,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:15.443.505,18f185a0,52 0e 00 00 d4 6c 00 00
2026-05-05 12:33:15.444.062,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:15.941.215,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:15.941.783,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:15.942.352,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:15.942.933,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:15.943.497,18f185a0,52 0e 00 00 d4 6c 00 00
2026-05-05 12:33:15.944.054,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:16.441.206,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:16.441.774,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:16.442.343,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:16.442.923,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:16.443.488,18f185a0,52 0e 00 00 d5 6c 00 00
2026-05-05 12:33:16.444.045,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:16.941.197,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:16.941.766,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:16.942.334,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:16.942.915,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:16.943.479,18f185a0,52 0e 00 00 d5 6c 00 00
2026-05-05 12:33:16.944.036,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:17.441.191,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:17.441.760,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:17.442.328,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:17.442.909,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:17.443.473,18f185a0,52 0e 00 00 d6 6c 00 00
2026-05-05 12:33:17.444.030,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:17.941.185,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:17.941.754,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:17.942.322,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:17.942.903,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:17.943.467,18f185a0,52 0e 00 00 d6 6c 00 00
2026-05-05 12:33:17.944.024,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:18.441.176,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:18.441.745,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:18.442.314,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:18.442.894,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:18.443.459,18f185a0,52 0e 00 00 d7 6c 00 00
2026-05-05 12:33:18.444.019,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:18.941.169,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:18.941.738,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:18.942.306,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:18.942.887,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:18.943.451,18f185a0,52 0e 00 00 d7 6c 00 00
2026-05-05 12:33:18.944.012,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:19.441.160,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:19.441.728,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:19.442.297,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:19.442.877,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:19.443.442,18f185a0,52 0e 00 00 d8 6c 00 00
2026-05-05 12:33:19.444.003,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:19.941.152,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:19.941.721,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:19.942.289,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:19.942.870,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:19.943.435,18f185a0,52 0e 00 00 d8 6c 00 00
2026-05-05 12:33:19.943.995,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:20.441.146,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:20.441.715,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:20.442.287,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:20.442.868,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:20.443.433,18f185a0,52 0e 00 00 d9 6c 00 00
2026-05-05 12:33:20.443.993,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:20.941.137,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:20.941.705,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:20.942.274,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:20.942.855,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:20.943.419,18f185a0,52 0e 00 00 d9 6c 00 00
2026-05-05 12:33:20.943.980,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:21.441.131,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:21.441.699,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:21.442.268,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:21.442.849,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:21.443.409,18f185a0,52 0e 00 00 da 6c 00 00
2026-05-05 12:33:21.443.970,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:21.941.124,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:21.941.693,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:21.942.262,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:21.942.843,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:21.943.403,18f185a0,52 0e 00 00 da 6c 00 00
2026-05-05 12:33:21.943.964,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:22.441.117,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:22.441.686,18f182a0,02 00 03 00 8f 00 03 00
2026-05-05 12:33:22.442.747,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:22.443.328,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:22.443.892,18f185a0,52 0e 00 00 db 6c 00 00
2026-05-05 12:33:22.444.453,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:22.941.106,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:22.941.675,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:22.942.248,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:22.942.828,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:22.943.393,18f185a0,52 0e 00 00 db 6c 00 00
2026-05-05 12:33:22.943.954,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:23.441.100,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:23.441.669,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:23.442.242,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:23.442.822,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:23.443.387,18f185a0,52 0e 00 00 dc 6c 00 00
2026-05-05 12:33:23.443.943,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:23.941.094,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:23.941.663,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:23.942.235,18f183a0,4c 0a 00 00 00 00 00 00
2026-05-05 12:33:23.942.816,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:23.943.381,18f185a0,52 0e 00 00 dc 6c 00 00
2026-05-05 12:33:23.943.937,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:24.441.085,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:24.441.653,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:24.442.226,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:24.442.799,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:24.443.363,18f185a0,52 0e 00 00 dd 6c 00 00
2026-05-05 12:33:24.443.920,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:24.941.076,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:24.941.644,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:24.942.217,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:24.942.789,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:24.943.354,18f185a0,52 0e 00 00 dd 6c 00 00
2026-05-05 12:33:24.943.911,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:25.441.071,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:25.441.639,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:25.442.212,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:25.442.784,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:25.443.349,18f185a0,52 0e 00 00 de 6c 00 00
2026-05-05 12:33:25.443.910,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:25.941.064,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:25.941.632,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:25.942.205,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:25.942.778,18f184a0,d2 00 2c 00 23 00 31 00
2026-05-05 12:33:25.943.342,18f185a0,52 0e 00 00 de 6c 00 00
2026-05-05 12:33:25.943.903,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:26.441.054,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:26.441.623,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:26.442.196,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:26.442.768,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:26.443.329,18f185a0,52 0e 00 00 df 6c 00 00
2026-05-05 12:33:26.443.890,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:26.941.048,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:26.941.617,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:26.942.190,18f183a0,4b 0a 00 00 00 00 00 00
2026-05-05 12:33:26.942.762,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:26.943.323,18f185a0,52 0e 00 00 df 6c 00 00
2026-05-05 12:33:26.943.883,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:27.441.041,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:27.441.609,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:27.442.182,18f183a0,4a 0a 00 00 00 00 00 00
2026-05-05 12:33:27.442.755,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:27.443.315,18f185a0,52 0e 00 00 e0 6c 00 00
2026-05-05 12:33:27.443.876,18f186a0,02 01 03 01 01 00 3d 3b
2026-05-05 12:33:27.941.031,18f181a0,00 01 00 23 4f 00 00 00
2026-05-05 12:33:27.941.600,18f182a0,02 00 03 00 8e 00 03 00
2026-05-05 12:33:27.942.173,18f183a0,4a 0a 00 00 00 00 00 00
2026-05-05 12:33:27.942.745,18f184a0,d1 00 2c 00 23 00 31 00
2026-05-05 12:33:27.943.306,18f185a0,52 0e 00 00 e0 6c 00 00
2026-05-05 12:33:27.943.867,18f186a0,02 01 03 01 01 00 3d 3b
