时间标识,帧ID,数据
2026-04-24 07:45:56.236.059,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:56.236.628,18f186a0,02 02 03 01 01 00 00 00
2026-04-24 07:45:56.237.192,18f187a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.237.772,18f188a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.238.360,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.238.945,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.239.525,11d,01 03 00 00 00 01 84 0a
2026-04-24 07:45:56.284.278,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.313.897,2,00 01 00 00 00 00 80 07
2026-04-24 07:45:56.329.860,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.384.302,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.401.893,2,00 01 00 00 00 00 80 07
2026-04-24 07:45:56.484.299,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.489.891,2,00 01 00 00 00 00 80 08
2026-04-24 07:45:56.497.903,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:56.529.849,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.577.892,2,00 01 00 00 00 00 80 08
2026-04-24 07:45:56.584.321,731,05
2026-04-24 07:45:56.584.585,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.629.843,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:56.665.890,2,00 01 00 00 00 00 80 09
2026-04-24 07:45:56.684.323,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.729.841,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.733.233,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:56.733.809,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:56.734.389,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.734.973,18f184a0,00 00 d8 ff d8 ff 00 00
2026-04-24 07:45:56.735.537,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:56.736.106,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:56.736.662,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:56.737.226,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:56.737.794,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.738.378,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.738.959,181,00 01 00 10 5a 00 00 00
2026-04-24 07:45:56.739.451,182,00 00 02 00 03 00 01 00
2026-04-24 07:45:56.739.951,183,00 00 00 ff 00 ff 28 00
2026-04-24 07:45:56.740.443,184,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.740.944,185,02 02 00 00 00 02 5f 19
2026-04-24 07:45:56.741.428,186,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.753.887,2,00 01 00 00 00 00 80 09
2026-04-24 07:45:56.784.344,1b1,24 24 9e 13 f0
2026-04-24 07:45:56.841.886,2,00 01 00 00 00 00 80 0a
2026-04-24 07:45:56.884.344,1b1,24 24 9f 13 f0
2026-04-24 07:45:56.897.883,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:56.929.829,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:56.930.329,2,00 01 00 00 00 00 80 0a
2026-04-24 07:45:56.984.342,1b1,24 24 a0 13 f0
2026-04-24 07:45:57.017.881,2,00 01 00 00 00 00 80 0a
2026-04-24 07:45:57.029.821,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:57.084.366,731,05
2026-04-24 07:45:57.084.630,1b1,24 24 a0 13 f0
2026-04-24 07:45:57.105.878,2,00 01 00 00 00 00 80 0b
2026-04-24 07:45:57.129.817,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.184.366,1b1,24 24 a0 13 f0
2026-04-24 07:45:57.193.878,2,00 01 00 00 00 00 80 0b
2026-04-24 07:45:57.233.226,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:57.233.802,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:57.234.382,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.234.966,18f184a0,00 00 0d 00 0c 00 00 00
2026-04-24 07:45:57.235.538,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:57.236.106,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:57.236.662,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:57.237.226,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:57.237.794,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.238.378,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.238.959,11d,01 03 00 00 00 01 84 0a
2026-04-24 07:45:57.281.874,2,00 01 00 00 00 00 80 0c
2026-04-24 07:45:57.284.366,1b1,24 24 a2 13 f0
2026-04-24 07:45:57.297.858,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:57.329.808,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.369.871,2,00 01 00 00 00 00 80 0c
2026-04-24 07:45:57.384.388,1b1,24 24 a2 13 f0
2026-04-24 07:45:57.429.802,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:57.457.869,2,00 01 00 00 00 00 80 0d
2026-04-24 07:45:57.484.382,1b1,24 24 a2 13 f0
2026-04-24 07:45:57.529.796,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.545.867,2,00 01 00 00 00 00 80 0d
2026-04-24 07:45:57.584.408,731,05
2026-04-24 07:45:57.584.673,1b1,2c 24 a2 13 f0
2026-04-24 07:45:57.633.867,2,00 01 00 00 00 00 80 0e
2026-04-24 07:45:57.684.413,1b1,2c 24 a2 13 f0
2026-04-24 07:45:57.697.836,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:57.721.864,2,00 01 00 00 00 00 80 0e
2026-04-24 07:45:57.729.783,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.733.224,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:57.733.800,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:57.734.380,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.734.964,18f184a0,00 00 0d 00 0c 00 00 00
2026-04-24 07:45:57.735.536,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:57.736.104,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:57.736.661,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:57.737.225,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:57.737.793,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.738.377,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.738.957,181,00 01 00 10 5a 00 00 00
2026-04-24 07:45:57.739.449,182,00 00 02 00 03 00 01 00
2026-04-24 07:45:57.739.950,183,00 00 35 00 34 00 28 00
2026-04-24 07:45:57.740.438,184,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.740.938,185,02 02 00 00 00 02 5f 19
2026-04-24 07:45:57.741.422,186,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.784.411,1b1,2c 24 a2 13 f0
2026-04-24 07:45:57.809.862,2,00 01 00 00 00 00 80 0e
2026-04-24 07:45:57.829.777,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:57.884.430,1b1,2c 24 a2 13 f0
2026-04-24 07:45:57.897.862,2,00 01 00 00 00 00 80 0f
2026-04-24 07:45:57.929.772,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:57.984.429,1b1,2c 24 a1 13 f0
2026-04-24 07:45:57.985.857,2,00 01 00 00 00 00 80 0f
2026-04-24 07:45:58.073.855,2,00 01 00 00 00 00 80 10
2026-04-24 07:45:58.084.452,731,05
2026-04-24 07:45:58.084.716,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.097.815,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:58.129.761,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.161.853,2,00 01 00 00 00 00 80 10
2026-04-24 07:45:58.184.434,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.229.755,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:58.233.215,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:58.233.791,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:58.234.372,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.234.956,18f184a0,00 00 0d 00 0c 00 00 00
2026-04-24 07:45:58.235.528,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:58.236.097,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:58.236.653,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:58.237.217,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:58.237.785,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.238.369,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.238.949,11d,01 03 00 00 00 01 84 0a
2026-04-24 07:45:58.249.853,2,00 01 00 00 00 00 80 11
2026-04-24 07:45:58.284.454,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.329.752,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.337.851,2,00 01 00 00 00 00 80 11
2026-04-24 07:45:58.384.473,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.425.848,2,00 01 00 00 00 00 80 11
2026-04-24 07:45:58.484.473,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.497.793,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:58.513.844,2,00 01 00 00 00 00 80 12
2026-04-24 07:45:58.529.740,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.584.469,731,05
2026-04-24 07:45:58.584.732,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.601.844,2,00 01 00 00 00 00 80 12
2026-04-24 07:45:58.629.735,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:58.684.500,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.689.840,2,00 01 00 00 00 00 80 13
2026-04-24 07:45:58.729.730,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.733.210,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:58.733.787,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:58.734.367,18f183a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.734.951,18f184a0,00 00 0d 00 0c 00 00 00
2026-04-24 07:45:58.735.523,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:58.736.091,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:58.736.647,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:58.737.211,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:58.737.779,18f189a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.738.364,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.738.944,181,00 01 00 10 5a 00 00 00
2026-04-24 07:45:58.739.436,182,00 00 02 00 03 00 01 00
2026-04-24 07:45:58.739.936,183,00 00 35 00 34 00 28 00
2026-04-24 07:45:58.740.424,184,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.740.924,185,02 02 00 00 00 02 5f 19
2026-04-24 07:45:58.741.409,186,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.777.840,2,00 01 00 00 00 00 80 13
2026-04-24 07:45:58.784.496,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.865.838,2,00 01 00 00 00 00 80 14
2026-04-24 07:45:58.884.495,1b1,2c 24 a2 13 f0
2026-04-24 07:45:58.897.770,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:58.934.268,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:58.953.836,2,00 01 00 00 00 00 80 14
2026-04-24 07:45:58.984.517,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.029.714,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:59.041.834,2,00 01 00 00 00 00 80 15
2026-04-24 07:45:59.084.511,731,05
2026-04-24 07:45:59.084.743,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.129.709,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.130.208,2,00 01 00 00 00 00 80 15
2026-04-24 07:45:59.184.518,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.217.829,2,00 01 00 00 00 00 80 15
2026-04-24 07:45:59.233.206,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:59.233.782,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:59.234.362,18f183a0,28 0a 00 00 00 00 20 00
2026-04-24 07:45:59.234.947,18f184a0,24 00 0d 00 0c 00 09 00
2026-04-24 07:45:59.235.507,18f185a0,98 09 00 00 00 00 00 00
2026-04-24 07:45:59.236.075,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:59.236.631,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:59.237.196,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:59.237.764,18f189a0,00 00 00 00 00 00 0b 00
2026-04-24 07:45:59.238.340,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.238.920,11d,01 03 00 00 00 01 84 0a
2026-04-24 07:45:59.284.537,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.297.752,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:59.305.828,2,00 01 00 00 00 00 80 16
2026-04-24 07:45:59.329.695,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.384.536,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.393.824,2,00 01 00 00 00 00 80 16
2026-04-24 07:45:59.429.690,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:59.481.821,2,00 01 00 00 00 00 80 17
2026-04-24 07:45:59.484.558,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.529.687,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.569.822,2,00 01 00 00 00 00 80 17
2026-04-24 07:45:59.584.563,731,05
2026-04-24 07:45:59.584.795,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.657.817,2,00 01 00 00 00 00 80 18
2026-04-24 07:45:59.684.566,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.697.729,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:59.733.197,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:45:59.733.773,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:45:59.734.353,18f183a0,28 0a 00 00 00 00 10 00
2026-04-24 07:45:59.734.929,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.735.425,18f184a0,14 00 0d 00 0c 00 09 00
2026-04-24 07:45:59.735.986,18f185a0,98 09 00 00 20 1c 00 00
2026-04-24 07:45:59.736.546,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:45:59.737.102,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:45:59.737.667,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:45:59.738.235,18f189a0,00 00 00 00 00 00 0b 00
2026-04-24 07:45:59.738.811,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.739.391,181,00 01 00 10 5a 00 00 00
2026-04-24 07:45:59.739.883,182,00 00 02 00 03 00 01 00
2026-04-24 07:45:59.740.383,183,00 00 35 00 34 00 31 00
2026-04-24 07:45:59.740.872,184,1a 00 00 00 10 00 14 00
2026-04-24 07:45:59.741.368,185,02 02 00 00 00 02 5f 19
2026-04-24 07:45:59.741.852,186,00 00 00 00 02 00 00 00
2026-04-24 07:45:59.745.815,2,00 01 00 00 00 00 80 18
2026-04-24 07:45:59.784.589,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.829.670,18d,00 00 00 00 00 00 01 00
2026-04-24 07:45:59.833.814,2,00 01 00 00 00 00 80 18
2026-04-24 07:45:59.884.584,1b1,2c 24 a2 13 f0
2026-04-24 07:45:59.921.814,2,00 01 00 00 00 00 80 19
2026-04-24 07:45:59.929.662,18d,00 00 00 00 00 00 00 00
2026-04-24 07:45:59.984.604,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.009.811,2,00 01 00 00 00 00 80 19
2026-04-24 07:46:00.084.605,731,05
2026-04-24 07:46:00.084.837,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.097.709,18d,00 00 00 00 00 00 01 00
2026-04-24 07:46:00.098.209,2,00 01 00 00 00 00 80 1a
2026-04-24 07:46:00.134.203,18d,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.184.608,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.185.808,2,00 01 00 00 00 00 80 1a
2026-04-24 07:46:00.229.646,18d,00 00 00 00 00 00 01 00
2026-04-24 07:46:00.233.194,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:46:00.233.771,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:46:00.234.351,18f183a0,28 0a 00 00 00 00 04 00
2026-04-24 07:46:00.234.931,18f184a0,06 00 0d 00 0c 00 09 00
2026-04-24 07:46:00.235.495,18f185a0,98 09 00 00 20 1c 00 00
2026-04-24 07:46:00.236.056,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:46:00.236.612,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:46:00.237.176,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:46:00.237.745,18f189a0,00 00 00 00 00 00 0b 00
2026-04-24 07:46:00.238.321,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.238.901,11d,01 03 00 00 00 01 84 0a
2026-04-24 07:46:00.273.804,2,00 01 00 00 00 00 80 1b
2026-04-24 07:46:00.284.629,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.329.643,18d,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.361.802,2,00 01 00 00 00 00 80 1b
2026-04-24 07:46:00.384.623,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.449.801,2,00 01 00 00 00 00 80 1c
2026-04-24 07:46:00.484.650,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.497.685,18d,00 00 00 00 00 00 01 00
2026-04-24 07:46:00.534.179,18d,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.537.799,2,00 01 00 00 00 00 80 1c
2026-04-24 07:46:00.584.645,731,05
2026-04-24 07:46:00.584.877,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.625.796,2,00 01 00 00 00 00 80 1c
2026-04-24 07:46:00.629.624,18d,00 00 00 00 00 00 01 00
2026-04-24 07:46:00.684.645,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.713.792,2,00 01 00 00 00 00 80 1d
2026-04-24 07:46:00.729.620,18d,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.733.188,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:46:00.733.765,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:46:00.734.345,18f183a0,28 0a 00 00 00 00 00 00
2026-04-24 07:46:00.734.925,18f184a0,02 00 0d 00 0c 00 09 00
2026-04-24 07:46:00.735.489,18f185a0,98 09 00 00 20 1c 00 00
2026-04-24 07:46:00.736.049,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:46:00.736.605,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:46:00.737.169,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:46:00.737.737,18f189a0,00 00 00 00 00 00 0b 00
2026-04-24 07:46:00.738.314,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.738.894,181,00 01 00 10 5a 00 00 00
2026-04-24 07:46:00.739.387,182,00 00 02 00 03 00 01 00
2026-04-24 07:46:00.739.887,183,00 00 35 00 34 00 31 00
2026-04-24 07:46:00.740.375,184,1a 00 00 00 00 00 02 00
2026-04-24 07:46:00.740.871,185,02 02 00 00 00 02 5f 19
2026-04-24 07:46:00.741.355,186,00 00 00 00 02 00 00 00
2026-04-24 07:46:00.784.672,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.801.791,2,00 01 00 00 00 00 80 1d
2026-04-24 07:46:00.884.665,1b1,2c 24 a2 13 f0
2026-04-24 07:46:00.889.789,2,00 01 00 00 00 00 80 1e
2026-04-24 07:46:00.897.665,18d,00 00 00 00 00 00 01 00
2026-04-24 07:46:00.934.159,18d,00 00 00 00 00 00 00 00
2026-04-24 07:46:00.977.790,2,00 01 00 00 00 00 80 1e
2026-04-24 07:46:00.984.691,1b1,2c 24 a2 13 f0
2026-04-24 07:46:01.029.604,18d,00 00 00 00 00 00 01 00
2026-04-24 07:46:01.065.787,2,00 01 00 00 00 00 80 1f
2026-04-24 07:46:01.084.684,731,05
2026-04-24 07:46:01.084.916,1b1,2c 24 a2 13 f0
2026-04-24 07:46:01.129.598,18d,00 00 00 00 00 00 00 00
2026-04-24 07:46:01.153.785,2,00 01 00 00 00 00 80 1f
2026-04-24 07:46:01.184.690,1b1,2c 24 a2 13 f0
2026-04-24 07:46:01.233.181,18f181a0,00 01 00 10 5a 00 00 00
2026-04-24 07:46:01.233.757,18f182a0,00 00 03 00 02 00 01 00
2026-04-24 07:46:01.234.337,18f183a0,c4 09 00 00 00 00 00 00
2026-04-24 07:46:01.234.913,18f184a0,00 00 0d 00 0c 00 09 00
2026-04-24 07:46:01.235.477,18f185a0,98 09 00 00 20 1c 00 00
2026-04-24 07:46:01.236.037,18f186a0,02 02 03 01 01 00 5f 19
2026-04-24 07:46:01.236.594,18f187a0,02 02 02 02 02 02 02 02
2026-04-24 07:46:01.237.158,18f188a0,02 02 00 00 00 02 02 02
2026-04-24 07:46:01.237.726,18f189a0,00 00 00 00 00 00 0b 00
2026-04-24 07:46:01.238.303,18f190a0,00 00 00 00 00 00 00 00
2026-04-24 07:46:01.238.883,11d,01 03 00 00 00 01 84 0a
