时间标识,帧ID,数据
2026-04-29 08:15:45.866.488,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:45.867.065,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:45.867.641,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:45.868.217,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:45.868.785,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:45.869.358,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:45.871.046,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:46.366.480,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:46.367.056,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:46.367.632,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:46.368.208,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:46.368.777,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:46.369.349,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:46.371.038,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:46.866.477,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:46.867.054,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:46.867.630,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:46.868.206,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:46.868.774,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:46.869.347,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:46.871.035,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:47.366.469,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:47.367.045,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:47.367.621,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:47.368.197,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:47.368.766,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:47.369.338,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:47.371.026,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:47.866.466,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:47.867.042,18f182a0,00 00 03 00 03 00 02 00
2026-04-29 08:15:47.867.614,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:47.868.191,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:47.868.759,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:47.869.331,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:47.871.020,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:48.366.461,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:48.367.037,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:48.367.614,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:48.368.190,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:48.368.758,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:48.369.331,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:48.371.019,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:48.866.457,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:48.867.033,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:48.867.610,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:48.868.186,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:48.868.754,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:48.869.327,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:48.871.015,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:49.366.452,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:49.367.028,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:49.367.605,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:49.368.181,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:49.368.749,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:49.369.321,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:49.371.010,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:49.866.445,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:49.867.021,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:49.867.597,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:49.868.173,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:49.868.741,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:49.869.313,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:49.871.002,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:50.366.441,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:50.367.017,18f182a0,00 00 03 00 03 00 02 00
2026-04-29 08:15:50.367.589,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:50.368.165,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:50.368.733,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:50.369.305,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:50.370.994,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:50.866.435,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:50.867.011,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:50.867.588,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:50.868.164,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:50.868.732,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:50.869.304,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:50.870.993,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:51.366.428,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:51.367.004,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:51.367.580,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:51.368.156,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:51.368.725,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:51.369.297,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:51.370.985,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:51.866.423,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:51.866.999,18f182a0,00 00 03 00 03 00 02 00
2026-04-29 08:15:51.867.572,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:51.868.148,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:51.868.716,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:51.869.288,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:51.870.977,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:52.366.420,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:52.366.997,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:52.367.573,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:52.368.149,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:52.368.718,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:52.369.290,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:52.370.979,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:52.866.415,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:52.866.991,18f182a0,00 00 03 00 03 00 02 00
2026-04-29 08:15:52.867.563,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:52.868.140,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:52.868.708,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:52.869.280,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:52.870.968,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:53.366.407,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:53.366.984,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:53.367.560,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:53.368.136,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:53.368.704,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:53.369.276,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:53.370.965,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:53.866.404,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:53.866.980,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:53.867.556,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:53.868.132,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:53.868.700,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:53.869.272,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:53.870.960,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:54.366.399,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:54.366.975,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:54.367.551,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:54.368.127,18f184a0,00 00 1c 00 17 00 2e 00
2026-04-29 08:15:54.368.696,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:54.369.268,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:54.370.956,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:54.866.394,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:54.866.970,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:54.867.547,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:54.868.123,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:54.868.691,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:54.869.760,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:54.871.448,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:55.366.385,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:55.366.961,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:55.367.537,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:55.368.114,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:55.368.682,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:55.369.254,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:55.370.942,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:55.866.383,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:55.866.959,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:55.867.535,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:55.868.111,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:55.868.679,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:55.869.252,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:55.870.941,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:56.366.375,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:56.366.951,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:56.367.527,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:56.368.104,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:56.368.672,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:56.369.244,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:56.370.933,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:56.866.372,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:56.866.948,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:56.867.524,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:56.868.100,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:56.868.668,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:56.869.240,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:56.870.929,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:57.366.366,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:57.366.942,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:57.367.518,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:57.368.094,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:57.368.662,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:57.369.234,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:57.370.923,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:57.866.362,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:57.866.938,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:57.867.514,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:57.868.090,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:57.868.658,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:57.869.231,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:57.870.919,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:58.366.353,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:58.366.930,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:58.367.506,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:58.368.082,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:58.368.651,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:58.369.223,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:58.370.911,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:58.866.351,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:58.866.927,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:58.867.503,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:58.868.079,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:58.868.647,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:58.869.219,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:58.870.908,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:59.366.346,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:59.366.922,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:59.367.498,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:59.368.075,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:59.368.643,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:59.369.216,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:59.370.904,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:15:59.866.338,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:15:59.866.914,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:15:59.867.490,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:15:59.868.066,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:15:59.868.634,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:15:59.869.206,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:15:59.870.894,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:16:00.366.333,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:16:00.366.910,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:16:00.367.486,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:16:00.368.062,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:16:00.368.630,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:16:00.369.202,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:16:00.370.891,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:16:00.866.327,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:16:00.866.904,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:16:00.867.480,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:16:00.868.056,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:16:00.868.624,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:16:00.869.197,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:16:00.870.886,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:16:01.366.325,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:16:01.366.902,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:16:01.367.478,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:16:01.368.054,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:16:01.368.623,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:16:01.369.195,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:16:01.370.884,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:16:01.866.318,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:16:01.866.894,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:16:01.867.470,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:16:01.868.047,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:16:01.868.615,18f185a0,36 0b 00 00 20 1c 00 00
2026-04-29 08:16:01.869.187,18f186a0,02 01 03 01 01 00 5f 19
2026-04-29 08:16:01.870.876,18f189a0,00 00 00 00 00 00 1a 00
2026-04-29 08:16:02.366.313,18f181a0,00 01 00 1d 57 00 00 00
2026-04-29 08:16:02.366.890,18f182a0,00 00 03 00 03 00 01 00
2026-04-29 08:16:02.367.466,18f183a0,c4 09 00 00 00 00 00 00
2026-04-29 08:16:02.368.042,18f184a0,00 00 1d 00 17 00 2e 00
2026-04-29 08:16:02.368.611,18f185a0,36 0b 00 00 20 1c 00 00
